[INFO] 2025-10-16 19:37:11,942 activity 2025-10-16T16:37:11.942537+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=756 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:53:10,165 activity 2025-10-16T16:53:10.165773+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=2828 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:57:45,451 activity 2025-10-16T16:57:45.433223+00:00 method=GET path='/sw/control/analytics/' status=200 ms=993 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:58:03,912 activity 2025-10-16T16:58:03.912454+00:00 method=POST path='/sw/control/analytics/' status=302 ms=1965 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:58:04,835 activity 2025-10-16T16:58:04.835427+00:00 method=GET path='/sw/control/analytics/' status=200 ms=598 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:59:48,174 activity 2025-10-16T16:59:48.173963+00:00 method=GET path='/sw/control/analytics/?period=30&exclude_staff=1' status=200 ms=88 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:59:51,690 activity 2025-10-16T16:59:51.690217+00:00 method=GET path='/sw/control/analytics/?period=30' status=200 ms=53 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:59:57,077 activity 2025-10-16T16:59:57.077853+00:00 method=GET path='/sw/control/analytics/?period=90' status=200 ms=70 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 20:00:02,661 activity 2025-10-16T17:00:02.661517+00:00 method=POST path='/sw/control/analytics/?period=90' status=302 ms=357 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 20:00:03,237 activity 2025-10-16T17:00:03.237410+00:00 method=GET path='/sw/control/analytics/' status=200 ms=164 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 20:01:49,067 activity 2025-10-16T17:01:49.067881+00:00 method=GET path='/sw/control/analytics/' status=200 ms=33 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 20:02:15,901 activity 2025-10-16T17:02:15.901155+00:00 method=GET path='/sw/control/analytics/' status=200 ms=32 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
